               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10014,             0.01287,            0.039749,                   0,                   0,                   0,                   0,              0.0917,           0.0093563,            0.036539,            0.070857,           0.0032381,           0.0032381
                   1,            0.096042,            0.011755,            0.037374,                   0,                   0,                   0,                   0,            0.087315,            0.010083,            0.033389,            0.040835,           0.0065497,           0.0065497
                   2,            0.088209,             0.01227,            0.033491,          0.00016136,           0.0050168,          9.6747e-05,          2.8109e-05,            0.084829,            0.010899,            0.030552,            0.010792,           0.0098394,           0.0098394
                   3,             0.08448,            0.012628,            0.031902,          0.00050025,            0.022173,          0.00026787,          4.3389e-05,            0.082778,             0.01163,            0.030773,            0.009901,            0.009901,            0.009901
                   4,             0.08841,            0.013471,            0.032357,           0.0011539,            0.023428,          0.00067496,           0.0001505,            0.082307,            0.011707,            0.029106,            0.009901,            0.009901,            0.009901
                   5,            0.087929,            0.013202,            0.033083,          0.00044165,            0.036406,           0.0010594,          0.00026847,            0.081806,            0.011721,            0.027669,            0.009868,            0.009868,            0.009868
                   6,            0.087629,            0.013255,            0.032108,           0.0011898,            0.061189,           0.0018911,          0.00048918,            0.080286,            0.012178,            0.028995,            0.009835,            0.009835,            0.009835
                   7,            0.081654,            0.013663,            0.029687,           0.0017808,            0.097116,           0.0029904,          0.00071273,            0.079888,            0.012234,            0.028257,            0.009802,            0.009802,            0.009802
                   8,            0.084483,            0.014021,            0.031895,           0.0020582,             0.12283,           0.0053934,           0.0012127,            0.077456,            0.013981,            0.027984,            0.009769,            0.009769,            0.009769
                   9,            0.085477,            0.014402,            0.032122,             0.87516,            0.023102,            0.016083,            0.004297,            0.073762,            0.014154,            0.027405,            0.009736,            0.009736,            0.009736
